DATE;SECID;COUNT;MEAN_PRICE
01.01.2024;RUB;3036.64;0
01.01.2024;RU000A101C89;5980;99.1112
01.01.2024;RU000A101QW2;5477;96.4593
01.01.2024;SU24021RMFS6;9094;100.2303
01.02.2024;RUB;20255.82;0
01.02.2024;RU000A101QW2;5477;96.4593
01.02.2024;RU000A1036E6;5057;97.3998
01.02.2024;RU000A1078F5;560;100.02
01.02.2024;SU24021RMFS6;10021;100.2136
01.03.2024;RUB;14442.12;0
01.03.2024;RU000A101QW2;5477;96.4593
01.03.2024;RU000A1036E6;5057;97.3998
01.03.2024;RU000A1078F5;560;100.02
01.03.2024;SU24021RMFS6;10021;100.2136
01.04.2024;RUB;14218.49;0
01.04.2024;RU000A101QW2;5477;96.4593
01.04.2024;RU000A1036E6;5057;97.3998
01.04.2024;RU000A1078F5;560;100.02
01.04.2024;SU24021RMFS6;10021;100.2136
01.05.2024;RUB;38406.96;0
01.05.2024;LQDT;72217;1.3847
01.05.2024;SU29016RMFS1;4465;99.7738
01.05.2024;SU29020RMFS3;5816;99.7991
01.05.2024;RU000A101QW2;5477;96.4593
01.05.2024;RU000A1078F5;591;100.0191
01.06.2024;RU000A101QW2;5477;96.4593
01.06.2024;RU000A1036E6;5052;97.3998
01.06.2024;RU000A1075J3;4035;100.0236
01.06.2024;RU000A107TT9;2000;100.7496
01.06.2024;RU000A108777;3216;100.1668
01.06.2024;RU000A108DE3;2000;100.2275
01.06.2024;RU000A108G70;1;99.9018
01.06.2024;SU29016RMFS1;4826;99.772
01.06.2024;SU29020RMFS3;5816;99.7991
01.06.2024;TRNFP;2443;1672.1461
01.06.2024;RUB;44325.15;0
01.07.2024;RU000A103HT3;1065;97.9444
01.07.2024;RU000A1075J3;4035;100.0236
01.07.2024;RU000A107TT9;2000;100.7496
01.07.2024;RU000A108777;3216;100.1668
01.07.2024;RU000A108DE3;2000;100.2275
01.07.2024;RU000A108GL1;2000;100.2
01.07.2024;RU000A108GN7;2000;100.1425
01.07.2024;RU000A108JV4;1590;99.9
01.07.2024;SU29020RMFS3;5816;99.7991
01.07.2024;TCSG;1877;2866.768
01.07.2024;TRNFP;4300;1645.3706
01.07.2024;RU000A108TU5;1067;99.9893
01.07.2024;RUB;41441.67;0
08.07.2024;RU000A1075J3;2360;100.0236
08.07.2024;TCSG;1877;2866.768
08.07.2024;TRNFP;4300;1645.3706
08.07.2024;RU000A108DE3;1900;100.2275
08.07.2024;RU000A108JV4;1590;99.9
08.07.2024;SU29020RMFS3;3655;99.7991
08.07.2024;RU000A108VW7;2105;99.99
08.07.2024;RU000A108P46;2144;100.0498
08.07.2024;RU000A103HT3;1065;97.9444
08.07.2024;RU000A108777;3216;100.1668
08.07.2024;RU000A108TU5;1100;100.0064
08.07.2024;RU000A107TT9;1900;100.7496
08.07.2024;RU000A108GN7;1900;100.1425
08.07.2024;RU000A108GL1;1900;100.2
08.07.2024;RUB;40579.59;0
22.07.2024;RU000A103HT3;1065;97.9444
22.07.2024;RU000A1075J3;2360;100.0236
22.07.2024;RU000A107TT9;1900;100.7496
22.07.2024;RU000A108777;3216;100.1668
22.07.2024;RU000A108DE3;1900;100.2275
22.07.2024;RU000A108GL1;1900;100.2
22.07.2024;RU000A108GN7;1900;100.1425
22.07.2024;RU000A108P46;2144;100.0498
22.07.2024;RU000A108TU5;1100;100.0064
22.07.2024;RU000A108VW7;3670;99.9772
22.07.2024;TCSG;2577;2820.5813
22.07.2024;TRNFP;5550;1598.215
22.07.2024;RUB;43048.02;0
ACTUAL;RU000A103HT3;1065;97.9444
ACTUAL;RU000A1075J3;2360;100.0236
ACTUAL;RU000A107TT9;1900;100.7496
ACTUAL;RU000A108777;3216;100.1668
ACTUAL;RU000A108DE3;1900;100.2275
ACTUAL;RU000A108GL1;1900;100.2
ACTUAL;RU000A108GN7;1900;100.1425
ACTUAL;RU000A108P46;2144;100.0498
ACTUAL;RU000A108TU5;1100;100.0064
ACTUAL;RU000A108VW7;3670;99.9772
ACTUAL;TCSG;2577;2820.5813
ACTUAL;TRNFP;5550;1598.215
ACTUAL;LQDT;57629;1.440177
ACTUAL;RUB;57760.08;0
